R, 1
R', 1
R L, 2
R L', 2
R B, 2
R B', 2
R BR, 2
R BR', 2
R U, 2
R U', 2
R D, 2
R D', 2
R' F, 2
R' L, 2
R' L', 2
R' B, 2
R' B', 2
R' U', 2
R' D, 2
R' D', 2
R L D, 3
R L D', 3
R L U, 3
R L U', 3
R L R, 3
R L R', 3
R L BR, 3
R L BR', 3
R L F, 3
R L F', 3
R L B, 3
R L B', 3
R L' B, 3
R L' B', 3
R L' U, 3
R L' U', 3
R L' D, 3
R L' D', 3
R L' BR, 3
R L' BR', 3
R L' BL, 3
R L' BL', 3
R L' R, 3
R L' R', 3
R B R, 3
R B R', 3
R B L, 3
R B L', 3
R B BL, 3
R B BL', 3
R B BR, 3
R B BR', 3
R B U, 3
R B U', 3
R B D, 3
R B D', 3
R B' R, 3
R B' R', 3
R B' L, 3
R B' L', 3
R B' BL, 3
R B' BL', 3
R B' BR, 3
R B' BR', 3
R B' U, 3
R B' U', 3
R B' D, 3
R B' D', 3
R BR R, 3
R BR R', 3
R BR B, 3
R BR B', 3
R BR D, 3
R BR D', 3
R BR' R, 3
R BR' R', 3
R BR' B, 3
R BR' B', 3
R BR' U, 3
R U B, 3
R U B', 3
R U R, 3
R U R', 3
R U D, 3
R U D', 3
R U' B, 3
R U' B', 3
R U' R, 3
R U' R', 3
R U' L, 3
R U' L', 3
R U' D, 3
R U' D', 3
R D R, 3
R D R', 3
R D L', 3
R D BL, 3
R D BL', 3
R D B, 3
R D B', 3
R D BR, 3
R D BR', 3
R D' R, 3
R D' R', 3
R D' F, 3
R D' F', 3
R D' L, 3
R D' L', 3
R D' BR, 3
R D' BR', 3
R' F R, 3
R' F R', 3
R' F L, 3
R' F L', 3
R' F B, 3
R' F B', 3
R' L D, 3
R' L D', 3
R' L BL, 3
R' L BL', 3
R' L U, 3
R' L U', 3
R' L R, 3
R' L R', 3
R' L F, 3
R' L F', 3
R' L B, 3
R' L B', 3
R' L' B, 3
R' L' B', 3
R' L' U, 3
R' L' U', 3
R' L' F, 3
R' L' F', 3
R' L' D, 3
R' L' D', 3
R' L' BL, 3
R' L' BL', 3
R' L' R, 3
R' L' R', 3
R' B R, 3
R' B R', 3
R' B L, 3
R' B L', 3
R' B BL, 3
R' B BL', 3
R' B U, 3
R' B U', 3
R' B D, 3
R' B D', 3
R' B' R, 3
R' B' R', 3
R' B' L, 3
R' B' L', 3
R' B' BR, 3
R' B' BR', 3
R' B' U, 3
R' B' U', 3
R' B' D, 3
R' B' D', 3
R' U' R, 3
R' U' R', 3
R' U' L, 3
R' U' L', 3
R' U' D, 3
R' U' D', 3
R' D R, 3
R' D R', 3
R' D F, 3
R' D F', 3
R' D B, 3
R' D B', 3
R' D BR, 3
R' D BR', 3
R' D' R, 3
R' D' R', 3
R' D' F, 3
R' D' F', 3
R' D' L, 3
R' D' L', 3
R' D' BL, 3
R' D' BL', 3
R' D' B, 3
R L D BL', 4
R L D U, 4
R L D U', 4
R L D R, 4
R L D R', 4
R L D BR, 4
R L D BR', 4
R L D F, 4
R L D F', 4
R L D B, 4
R L D B', 4
R L D' L, 4
R L D' L', 4
R L D' U, 4
R L D' U', 4
R L D' R, 4
R L D' R', 4
