Setup,Movecount,Solution
R BRw' F B,4,
R BRw' F B',4,
R BRw' F BR,4,
R BRw' F BR',4,
R BRw' F Dw,4,
R BRw' F Dw',4,
R BRw' F' R,4,
R BRw' F' R',4,
R BRw' F' BRw,4,
R BRw' F' BRw',4,
R BRw' F' B,4,
R BRw' F' B',4,
R BRw' F' Dw,4,
R BRw' F' Dw',4,
R BRw' F' D,4,
R BRw' F' D',4,
R BRw' B R,4,
R BRw' B R',4,
R BRw' B BRw,4,
R BRw' B BRw',4,
R BRw' B BL,4,
R BRw' B BL',4,
R BRw' B BR,4,
R BRw' B BR',4,
R BRw' B Dw,4,
R BRw' B Dw',4,
R BRw' B D,4,
R BRw' B D',4,
R BRw' B' R,4,
R BRw' B' R',4,
R BRw' B' BRw,4,
R BRw' B' BRw',4,
R BRw' B' BL,4,
R BRw' B' BL',4,
R BRw' B' BR,4,
R BRw' B' BR',4,
R BRw' B' Dw,4,
R BRw' B' Dw',4,
R BRw' B' D,4,
R BRw' B' D',4,
R BRw' BR R,4,
R BRw' BR R',4,
R BRw' BR B,4,
R BRw' BR B',4,
R BRw' BR Dw,4,
R BRw' BR Dw',4,
R BRw' BR D,4,
R BRw' BR D',4,
R BRw' BR' R,4,
R BRw' BR' R',4,
R BRw' BR' B,4,
R BRw' BR' B',4,
R BRw' BR' Dw,4,
R BRw' BR' Dw',4,
R BRw' BR' D',4,
R BRw' Dw BRw',4,
R BRw' Dw B,4,
R BRw' Dw B',4,
R BRw' Dw D,4,
R BRw' Dw D',4,
R BRw' Dw' R,4,
R BRw' Dw' R',4,
R BRw' Dw' BRw,4,
R BRw' Dw' BRw',4,
R BRw' Dw' B,4,
R BRw' Dw' B',4,
R BRw' Dw' D',4,
R BRw' D R,4,
R BRw' D BRw,4,
R BRw' D BRw',4,
R BRw' D BL,4,
R BRw' D B,4,
R BRw' D B',4,
R BRw' D' R',4,
R BRw' D' F,4,
R BRw' D' F',4,
R BRw' D' BRw,4,
R BRw' D' B,4,
R BRw' D' B',4,
R B R F,4,
R B R F',4,
R B R BRw,4,
R B R BRw',4,
R B R BL,4,
R B R BL',4,
R B R B,4,
R B R Dw,4,
R B R Dw',4,
R B R D,4,
R B R D',4,
R B R' BRw,4,
R B R' BRw',4,
R B R' BL,4,
R B R' BL',4,
R B R' B,4,
R B R' B',4,
R B R' Dw,4,
R B R' Dw',4,
R B R' D,4,
R B R' D',4,
R B BRw R,4,
R B BRw R',4,
R B BRw F',4,
R B BRw B,4,
R B BRw B',4,
R B BRw BR,4,
R B BRw BR',4,
R B BRw Dw,4,
R B BRw D,4,
R B BRw D',4,
R B BRw' R,4,
R B BRw' R',4,
R B BRw' B,4,
R B BRw' B',4,
R B BRw' BR,4,
R B BRw' BR',4,
R B BRw' Dw,4,
R B BL BRw,4,
R B BL BRw',4,
R B BL B,4,
R B BL B',4,
R B BL Dw,4,
R B BL Dw',4,
R B BL D,4,
R B BL D',4,
R B BL' BRw',4,
R B BL' B,4,
R B BL' B',4,
R B BL' BR',4,
R B BL' Dw',4,
R B BL' D,4,
R B BL' D',4,
R B BR R,4,
R B BR R',4,
R B BR B,4,
R B BR B',4,
R B BR Dw,4,
R B BR Dw',4,
R B BR D,4,
R B BR D',4,
R B BR' B,4,
R B BR' B',4,
R B BR' Dw,4,
R B BR' Dw',4,
R B BR' D,4,
R B BR' D',4,
R B Dw B,4,
R B Dw B',4,
R B Dw D,4,
R B Dw D',4,
R B Dw' R',4,
R B Dw' B,4,
R B Dw' B',4,
R B Dw' D,4,
R B Dw' D',4,
R B D R,4,
R B D R',4,
R B D F,4,
R B D F',4,
R B D BRw,4,
R B D BRw',4,
R B D BL',4,
R B D BR,4,
R B D BR',4,
R B D' F',4,
R B D' BRw,4,
R B D' BL,4,
R B D' BL',4,
R B D' B,4,
R B D' B',4,
R B D' BR',4,
R B' R F,4,
R B' R F',4,
R B' R BRw,4,
R B' R BRw',4,
R B' R BL,4,
R B' R BL',4,
R B' R B,4,
R B' R B',4,
R B' R BR',4,
R B' R Dw,4,
R B' R Dw',4,
R B' R D,4,
R B' R D',4,
R B' R' BRw,4,
R B' R' BRw',4,
R B' R' BL,4,
R B' R' BL',4,
R B' R' B,4,
R B' R' BR,4,
R B' R' BR',4,
R B' R' Dw,4,
R B' R' Dw',4,
R B' R' D,4,
R B' R' D',4,
R B' BRw R,4,
R B' BRw R',4,
R B' BRw F,4,
R B' BRw F',4,
R B' BRw B,4,
R B' BRw B',4,
R B' BRw BR,4,
R B' BRw BR',4,
R B' BRw Dw,4,
R B' BRw Dw',4,
R B' BRw D,4,
R B' BRw D',4,
R B' BRw' R,4,
R B' BRw' R',4,
R B' BRw' B,4,
R B' BRw' B',4,
R B' BRw' BR,4,
R B' BRw' BR',4,
R B' BRw' Dw,4,
R B' BRw' Dw',4,
R B' BRw' D,4,
R B' BRw' D',4,
R B' BL BRw,4,
R B' BL B',4,
R B' BL Dw,4,
R B' BL Dw',4,
R B' BL D,4,
R B' BL D',4,
R B' BL' BRw,4,
R B' BL' BRw',4,
R B' BL' B',4,
R B' BL' Dw,4,
R B' BL' Dw',4,
R B' BL' D,4,
R B' BR R,4,
R B' BR R',4,
R B' BR B,4,
R B' BR B',4,
R B' BR Dw,4,
R B' BR Dw',4,
R B' BR D,4,
R B' BR D',4,
R B' BR' R,4,
R B' BR' R',4,
R B' BR' B,4,
R B' BR' B',4,
R B' BR' Dw,4,
R B' BR' Dw',4,
R B' BR' D,4,
R B' BR' D',4,
R B' Dw BRw,4,
R B' Dw BRw',4,
R B' Dw B',4,
R B' Dw D,4,
R B' Dw D',4,
R B' Dw' R,4,
R B' Dw' R',4,
R B' Dw' BRw,4,
R B' Dw' BRw',4,
R B' Dw' D,4,
R B' Dw' D',4,
R B' D R,4,
R B' D R',4,
R B' D F,4,
R B' D BRw,4,
R B' D BRw',4,
R B' D BL',4,
R B' D BR,4,
R B' D BR',4,
R B' D' R,4,
R B' D' F,4,
R B' D' BRw',4,
R B' D' B,4,
R B' D' B',4,
R BR R F',4,
R BR R BRw,4,
R BR R B,4,
R BR R B',4,
R BR R BR,4,
R BR R Dw,4,
R BR R D,4,
R BR R D',4,
R BR R' BRw',4,
R BR R' B,4,
R BR R' B',4,
R BR R' BR,4,
R BR R' Dw,4,
R BR R' Dw',4,
R BR R' D,4,
R BR R' D',4,
R BR B R,4,
R BR B R',4,
R BR B BRw',4,
R BR B BL,4,
R BR B Dw,4,
R BR B Dw',4,
R BR B D,4,
R BR B D',4,
R BR B' R,4,
R BR B' R',4,
R BR B' BRw,4,
R BR B' BRw',4,
R BR B' BL,4,
R BR B' BL',4,
R BR B' BR,4,
R BR B' BR',4,
R BR B' Dw,4,
R BR B' Dw',4,
R BR B' D,4,
R BR B' D',4,
R BR D BRw',4,
R BR D BL,4,
R BR D BL',4,
R BR D B,4,
R BR D B',4,
R BR D' R',4,
R BR D' F,4,
R BR D' F',4,
R BR D' B,4,
R BR D' B',4,
R BR D' BR,4,
R BR D' BR',4,
R BR' R F',4,
R BR' R BRw,4,
R BR' R B,4,
R BR' R B',4,
R BR' R BR,4,
R BR' R Dw,4,
R BR' R Dw',4,
R BR' R D,4,
R BR' R D',4,
R BR' R' B,4,
R BR' R' B',4,
R BR' R' BR,4,
R BR' R' BR',4,
R BR' R' Dw,4,
R BR' R' Dw',4,
R BR' B R,4,
R BR' B BRw,4,
R BR' B BRw',4,
R BR' B BL,4,
R BR' B BL',4,
R BR' B BR,4,
R BR' B BR',4,
R BR' B Dw,4,
R BR' B Dw',4,
R BR' B D,4,
R BR' B D',4,
R BR' B' R,4,
R BR' B' R',4,
R BR' B' BRw,4,
R BR' B' BRw',4,
R BR' B' BL,4,
R BR' B' BL',4,
R BR' B' Dw,4,
R BR' B' Dw',4,
R BR' B' D,4,
R BR' B' D',4,
R BR' Dw BRw,4,
R BR' Dw BRw',4,
R BR' Dw B,4,
R BR' Dw B',4,
R Dw BRw R,4,
R Dw BRw R',4,
R Dw BRw F,4,
R Dw BRw F',4,
R Dw BRw BL,4,
R Dw BRw BL',4,
R Dw BRw B,4,
R Dw BRw B',4,
R Dw BRw Dw',4,
R Dw BRw D,4,
R Dw BRw D',4,
R Dw BRw' R,4,
R Dw BRw' R',4,
R Dw BRw' F,4,
R Dw BRw' F',4,
R Dw BRw' BL,4,
R Dw BRw' BL',4,
R Dw BRw' B,4,
R Dw BRw' B',4,
R Dw BRw' Dw,4,
R Dw BRw' Dw',4,
R Dw B R,4,
R Dw B R',4,
R Dw B BRw,4,
R Dw B BRw',4,
R Dw B BR,4,
R Dw B Dw,4,
R Dw B D,4,
R Dw B D',4,
R Dw B' R,4,
R Dw B' R',4,
R Dw B' BRw,4,
R Dw B' BRw',4,
R Dw B' BR,4,
R Dw B' Dw',4,
R Dw D F,4,
R Dw D F',4,
R Dw D BRw,4,
R Dw D BRw',4,
R Dw D BL,4,
R Dw D BL',4,
R Dw D B,4,
R Dw D B',4,
R Dw D' R',4,
R Dw D' BRw',4,
R Dw D' BL,4,
R Dw D' BL',4,
R Dw D' B,4,
R Dw D' B',4,
R Dw D' BR,4,
R Dw D' BR',4,
R Dw' R F,4,
R Dw' R BRw,4,
R Dw' R BRw',4,
R Dw' R B,4,
R Dw' R B',4,
R Dw' R Dw',4,
R Dw' R D,4,
R Dw' R D',4,
R Dw' R' F',4,
R Dw' R' BRw,4,
R Dw' R' BRw',4,
R Dw' R' B,4,
R Dw' R' B',4,
R Dw' R' BR,4,
R Dw' R' Dw,4,
R Dw' R' Dw',4,
R Dw' R' D,4,
R Dw' R' D',4,
R Dw' BRw R,4,
R Dw' BRw R',4,
R Dw' BRw BL,4,
R Dw' BRw B,4,
R Dw' BRw B',4,
R Dw' BRw D,4,
R Dw' BRw D',4,
R Dw' BRw' F,4,
R Dw' BRw' Dw,4,
R Dw' BRw' Dw',4,
R Dw' BRw' D,4,
R Dw' BRw' D',4,
R Dw' B R,4,
R Dw' B BRw,4,
R Dw' B BL',4,
R Dw' B Dw,4,
R Dw' B D,4,
R Dw' B D',4,
R Dw' B' R,4,
R Dw' B' R',4,
R Dw' B' BRw,4,
R Dw' B' BRw',4,
R Dw' B' Dw,4,
R Dw' B' Dw',4,
R Dw' B' D,4,
R Dw' B' D',4,
