Setup,Movecount,Solution
R B BL' B R',5,
R B BL' B BRw,5,
R B BL' B BRw',5,
R B BL' B BL,5,
R B BL' B BL',5,
R B BL' B BR,5,
R B BL' B BR',5,
R B BL' B Dw,5,
R B BL' B Dw',5,
R B BL' B D,5,
R B BL' B D',5,
R B BL' B' BRw,5,
R B BL' B' BRw',5,
R B BL' B' BR',5,
R B BL' B' Dw,5,
R B BL' BR' B,5,
R B BL' BR' B',5,
R B BL' Dw' B,5,
R B BL' Dw' B',5,
R B BL' Dw' D,5,
R B BL' Dw' D',5,
R B BL' D R,5,
R B BL' D R',5,
R B BL' D F,5,
R B BL' D F',5,
R B BL' D BRw',5,
R B BL' D BL,5,
R B BL' D B',5,
R B BL' D BR',5,
R B BL' D' R,5,
R B BL' D' F,5,
R B BL' D' F',5,
R B BL' D' BRw,5,
R B BL' D' BRw',5,
R B BL' D' B,5,
R B BL' D' B',5,
R B BR R F',5,
R B BR R BRw,5,
R B BR R B,5,
R B BR R B',5,
R B BR R BR,5,
R B BR R Dw,5,
R B BR R Dw',5,
R B BR R D',5,
R B BR R' BRw',5,
R B BR R' B,5,
R B BR R' B',5,
R B BR R' Dw,5,
R B BR R' D,5,
R B BR R' D',5,
R B BR B R',5,
R B BR B BRw,5,
R B BR B BRw',5,
R B BR B BL,5,
R B BR B BL',5,
R B BR B BR,5,
R B BR B BR',5,
R B BR B Dw,5,
R B BR B D,5,
R B BR B D',5,
R B BR B' BR',5,
R B BR B' D,5,
R B BR B' D',5,
R B BR Dw B,5,
R B BR Dw B',5,
R B BR Dw D,5,
R B BR Dw D',5,
R B BR Dw' BRw,5,
R B BR Dw' BRw',5,
R B BR Dw' D',5,
R B BR D R,5,
R B BR D BL',5,
R B BR D B,5,
R B BR D B',5,
R B BR D' R,5,
R B BR D' R',5,
R B BR D' BL,5,
R B BR D' B',5,
R B BR' B R,5,
R B BR' B R',5,
R B BR' B BRw,5,
R B BR' B BRw',5,
R B BR' B BL,5,
R B BR' B BL',5,
R B BR' B BR,5,
R B BR' B BR',5,
R B BR' B Dw,5,
R B BR' B Dw',5,
R B BR' B D,5,
R B BR' B D',5,
R B BR' B' R,5,
R B BR' B' R',5,
R B BR' B' BRw,5,
R B BR' B' BRw',5,
R B BR' B' BL,5,
R B BR' B' BL',5,
R B BR' B' BR,5,
R B BR' B' BR',5,
R B BR' B' Dw,5,
R B BR' B' Dw',5,
R B BR' B' D,5,
R B BR' B' D',5,
R B BR' Dw BRw,5,
R B BR' Dw BRw',5,
R B BR' Dw B,5,
R B BR' Dw B',5,
R B BR' Dw' R,5,
R B BR' Dw' B,5,
R B BR' Dw' B',5,
R B BR' D BRw,5,
R B BR' D BRw',5,
R B BR' D B,5,
R B BR' D B',5,
R B BR' D' R,5,
R B BR' D' R',5,
R B BR' D' BRw',5,
R B BR' D' BL,5,
R B BR' D' BL',5,
R B BR' D' B,5,
R B BR' D' B',5,
R B Dw B R,5,
R B Dw B R',5,
R B Dw B BRw,5,
R B Dw B BRw',5,
R B Dw B BL,5,
R B Dw B BL',5,
R B Dw B BR,5,
R B Dw B BR',5,
R B Dw B Dw,5,
R B Dw B D,5,
R B Dw B D',5,
R B Dw B' R',5,
R B Dw B' BRw,5,
R B Dw B' BRw',5,
R B Dw B' BR,5,
R B Dw B' BR',5,
R B Dw B' Dw,5,
R B Dw B' D,5,
R B Dw B' D',5,
R B Dw D R',5,
R B Dw D F',5,
R B Dw D BRw',5,
R B Dw D BL,5,
R B Dw D BL',5,
R B Dw D B,5,
R B Dw D B',5,
R B Dw D BR,5,
R B Dw D BR',5,
R B Dw D' R',5,
R B Dw D' F',5,
R B Dw D' BRw,5,
R B Dw' R' B,5,
R B Dw' R' B',5,
R B Dw' R' D,5,
R B Dw' R' D',5,
R B Dw' B R',5,
R B Dw' B BRw,5,
R B Dw' B BRw',5,
R B Dw' B BL,5,
R B Dw' B BL',5,
R B Dw' B BR',5,
R B Dw' B Dw',5,
R B Dw' B' R,5,
R B Dw' B' Dw',5,
R B Dw' B' D,5,
R B Dw' D F,5,
R B Dw' D F',5,
R B Dw' D BRw,5,
R B Dw' D BRw',5,
R B Dw' D BL,5,
R B Dw' D BL',5,
R B Dw' D BR',5,
R B Dw' D' R,5,
R B Dw' D' R',5,
R B Dw' D' BL',5,
R B Dw' D' BR,5,
R B Dw' D' BR',5,
R B D R F,5,
R B D R F',5,
R B D R BRw,5,
R B D R BL',5,
R B D R B,5,
R B D R B',5,
R B D R Dw,5,
R B D R Dw',5,
R B D R D,5,
R B D R D',5,
R B D R' F,5,
R B D R' F',5,
R B D R' BL',5,
R B D R' B,5,
R B D R' B',5,
R B D R' Dw,5,
R B D R' Dw',5,
R B D R' D',5,
R B D F BRw,5,
R B D F BL',5,
R B D F BR',5,
R B D F' R,5,
R B D F' R',5,
R B D F' BL',5,
R B D BRw F,5,
R B D BRw F',5,
R B D BRw B,5,
R B D BRw BR,5,
R B D BRw BR',5,
R B D BRw Dw,5,
R B D BRw Dw',5,
R B D BRw D',5,
R B D BRw' R',5,
R B D BRw' F',5,
R B D BRw' B,5,
R B D BRw' BR',5,
R B D BRw' Dw,5,
R B D BRw' Dw',5,
R B D BL' BRw,5,
R B D BL' BRw',5,
R B D BL' B,5,
R B D BL' B',5,
R B D BL' BR,5,
R B D BL' BR',5,
R B D BR B,5,
R B D BR D,5,
R B D BR D',5,
R B D BR' B,5,
R B D BR' B',5,
R B D BR' D,5,
R B D BR' D',5,
R B D' F' BL',5,
R B D' F' B,5,
R B D' F' B',5,
R B D' F' D',5,
R B D' BRw B',5,
R B D' BL BRw',5,
R B D' BL B,5,
R B D' BL B',5,
R B D' BL D',5,
R B D' BL' B,5,
R B D' BL' B',5,
R B D' B R',5,
R B D' B BRw,5,
R B D' B BRw',5,
R B D' B BL,5,
R B D' B BL',5,
R B D' B BR,5,
R B D' B BR',5,
R B D' B Dw',5,
R B D' B' BR,5,
R B D' B' BR',5,
R B D' B' Dw',5,
R B D' BR' B,5,
R B D' BR' B',5,
R B' R F R,5,
R B' R F BRw,5,
R B' R F BRw',5,
R B' R F BL',5,
R B' R F BR',5,
R B' R F' R,5,
R B' R F' R',5,
R B' R F' BRw,5,
R B' R F' BRw',5,
R B' R F' BL',5,
R B' R F' BR',5,
R B' R F' D,5,
R B' R F' D',5,
R B' R BRw F,5,
R B' R BRw F',5,
R B' R BRw B',5,
R B' R BRw BR',5,
R B' R BRw Dw,5,
R B' R BRw Dw',5,
R B' R BRw D,5,
R B' R BRw D',5,
R B' R BRw' R,5,
R B' R BRw' R',5,
R B' R BRw' F,5,
R B' R BRw' BL,5,
R B' R BRw' BL',5,
R B' R BRw' B,5,
R B' R BRw' B',5,
R B' R BRw' BR',5,
R B' R BRw' Dw,5,
R B' R BRw' D',5,
R B' R BL BRw,5,
R B' R BL B',5,
R B' R BL BR',5,
R B' R BL D,5,
R B' R BL D',5,
R B' R BL' BRw,5,
R B' R BL' BRw',5,
R B' R BL' B,5,
R B' R BL' B',5,
R B' R BL' BR',5,
R B' R BL' Dw,5,
R B' R BL' Dw',5,
R B' R BL' D,5,
R B' R BL' D',5,
R B' R B BR',5,
R B' R B Dw,5,
R B' R B D,5,
R B' R B D',5,
R B' R BR' R,5,
R B' R BR' Dw,5,
R B' R BR' Dw',5,
R B' R BR' D,5,
R B' R Dw R,5,
R B' R Dw R',5,
R B' R Dw D,5,
R B' R Dw D',5,
R B' R Dw' R,5,
R B' R Dw' R',5,
R B' R Dw' B,5,
R B' R Dw' B',5,
R B' R Dw' D,5,
R B' R Dw' D',5,
R B' R D R,5,
R B' R D R',5,
R B' R D F,5,
R B' R D F',5,
R B' R D BRw,5,
R B' R D BRw',5,
R B' R D B,5,
R B' R D B',5,
R B' R D BR,5,
R B' R D BR',5,
R B' R D' R,5,
R B' R D' R',5,
R B' R D' F,5,
R B' R D' F',5,
R B' R D' BRw,5,
R B' R D' BRw',5,
R B' R D' BL',5,
R B' R D' BR,5,
R B' R D' BR',5,
R B' R' BRw F,5,
R B' R' BRw BL,5,
R B' R' BRw BL',5,
R B' R' BRw B,5,
R B' R' BRw BR,5,
R B' R' BRw BR',5,
R B' R' BRw Dw,5,
R B' R' BRw Dw',5,
R B' R' BRw D,5,
R B' R' BRw D',5,
R B' R' BRw' R,5,
R B' R' BRw' F,5,
R B' R' BRw' F',5,
R B' R' BRw' B,5,
R B' R' BRw' B',5,
R B' R' BRw' BR,5,
R B' R' BRw' BR',5,
R B' R' BRw' Dw,5,
R B' R' BRw' Dw',5,
R B' R' BRw' D',5,
R B' R' BL BRw,5,
R B' R' BL BR,5,
R B' R' BL BR',5,
R B' R' BL Dw',5,
R B' R' BL' BRw,5,
R B' R' BL' BRw',5,
R B' R' BL' B',5,
R B' R' BL' BR',5,
R B' R' BL' Dw',5,
R B' R' B R',5,
R B' R' B BRw',5,
R B' R' B BL,5,
R B' R' B Dw,5,
R B' R' B Dw',5,
R B' R' BR B,5,
R B' R' BR Dw,5,
R B' R' BR Dw',5,
R B' R' BR' B',5,
R B' R' BR' Dw',5,
R B' R' BR' D,5,
R B' R' Dw R',5,
R B' R' Dw BRw,5,
R B' R' Dw D,5,
R B' R' Dw D',5,
R B' R' Dw' R',5,
R B' R' Dw' BRw,5,
R B' R' Dw' BRw',5,
R B' R' Dw' B,5,
R B' R' Dw' B',5,
R B' R' Dw' D',5,
R B' R' D BRw',5,
R B' R' D B,5,
R B' R' D BR,5,
R B' R' D' R',5,
R B' R' D' BR,5,
R B' R' D' BR',5,
R B' BRw R F,5,
R B' BRw R BRw,5,
R B' BRw R B',5,
R B' BRw R Dw',5,
R B' BRw R D',5,
R B' BRw R' B,5,
R B' BRw R' Dw,5,
R B' BRw R' Dw',5,
R B' BRw R' D',5,
R B' BRw F B',5,
R B' BRw F Dw,5,
R B' BRw F Dw',5,
R B' BRw F D,5,
R B' BRw F' R,5,
R B' BRw F' BRw,5,
R B' BRw F' Dw',5,
R B' BRw B R',5,
R B' BRw B BRw,5,
R B' BRw B BR',5,
R B' BRw B' BRw,5,
R B' BRw B' BRw',5,
R B' BRw B' BL,5,
R B' BRw B' BL',5,
R B' BRw B' BR,5,
R B' BRw B' D,5,
R B' BRw B' D',5,
R B' BRw BR R,5,
R B' BRw BR R',5,
R B' BRw BR B,5,
R B' BRw BR B',5,
R B' BRw BR Dw,5,
R B' BRw BR Dw',5,
R B' BRw BR D,5,
R B' BRw BR D',5,
R B' BRw BR' R,5,
R B' BRw BR' R',5,
R B' BRw BR' B',5,
R B' BRw BR' Dw',5,
R B' BRw Dw B,5,
R B' BRw Dw B',5,
R B' BRw Dw D',5,
R B' BRw Dw' R,5,
R B' BRw Dw' BRw,5,
R B' BRw Dw' BRw',5,
R B' BRw D' R',5,
R B' BRw D' F',5,
R B' BRw D' BRw,5,
R B' BRw D' BL',5,
R B' BRw D' BR,5,
R B' BRw D' BR',5,
R B' BRw' R B,5,
R B' BRw' R B',5,
R B' BRw' R D',5,
R B' BRw' R' F,5,
R B' BRw' R' F',5,
R B' BRw' R' B',5,
R B' BRw' R' BR,5,
R B' BRw' R' BR',5,
R B' BRw' R' Dw,5,
R B' BRw' R' Dw',5,
R B' BRw' R' D',5,
R B' BRw' B BRw',5,
R B' BRw' B BL,5,
R B' BRw' B BR,5,
R B' BRw' B BR',5,
R B' BRw' B Dw,5,
R B' BRw' B D,5,
R B' BRw' B D',5,
R B' BRw' B' R',5,
R B' BRw' B' D',5,
R B' BRw' BR B',5,
R B' BRw' BR Dw',5,
R B' BRw' BR D',5,
R B' BRw' BR' Dw',5,
R B' BRw' BR' D,5,
R B' BRw' BR' D',5,
R B' BRw' Dw BRw,5,
R B' BRw' Dw BRw',5,
R B' BRw' Dw B,5,
R B' BRw' Dw D,5,
R B' BRw' Dw D',5,
R B' BRw' Dw' R,5,
R B' BRw' Dw' R',5,
R B' BRw' Dw' BRw,5,
R B' BRw' Dw' BRw',5,
R B' BRw' Dw' B,5,
R B' BRw' Dw' B',5,
R B' BRw' Dw' D,5,
R B' BRw' Dw' D',5,
R B' BRw' D BRw,5,
R B' BRw' D BRw',5,
R B' BRw' D BL,5,
R B' BRw' D BR,5,
R B' BRw' D BR',5,
R B' BRw' D' R,5,
R B' BRw' D' R',5,
R B' BRw' D' BRw',5,
R B' BRw' D' B',5,
R B' BRw' D' BR,5,
R B' BRw' D' BR',5,
R B' BL BRw R',5,
R B' BL BRw B',5,
R B' BL BRw Dw',5,
R B' BL BRw D,5,
R B' BL B' R',5,
R B' BL B' BL,5,
R B' BL B' BL',5,
R B' BL B' BR,5,
R B' BL B' BR',5,
R B' BL B' Dw,5,
R B' BL B' D,5,
R B' BL B' D',5,
R B' BL Dw BRw,5,
R B' BL Dw BRw',5,
R B' BL Dw D,5,
R B' BL Dw D',5,
R B' BL Dw' R,5,
R B' BL Dw' R',5,
R B' BL Dw' BRw,5,
R B' BL Dw' BRw',5,
R B' BL Dw' D,5,
R B' BL Dw' D',5,
R B' BL D R,5,
R B' BL D R',5,
R B' BL D BL,5,
R B' BL D B',5,
R B' BL D BR,5,
R B' BL D' R,5,
R B' BL D' R',5,
R B' BL D' F,5,
R B' BL D' BRw,5,
R B' BL D' BRw',5,
R B' BL' BRw B',5,
R B' BL' BRw Dw,5,
R B' BL' BRw D,5,
R B' BL' BRw' R,5,
R B' BL' BRw' B',5,
R B' BL' BRw' Dw,5,
R B' BL' B' BL,5,
R B' BL' B' BL',5,
R B' BL' B' BR,5,
R B' BL' B' BR',5,
R B' BL' B' Dw',5,
R B' BL' B' D,5,
R B' BL' Dw BRw,5,
R B' BL' Dw BRw',5,
R B' BL' Dw D,5,
R B' BL' Dw' R,5,
R B' BL' Dw' BRw,5,
R B' BL' Dw' D,5,
R B' BR R F',5,
R B' BR R B,5,
R B' BR R B',5,
R B' BR R Dw,5,
R B' BR R Dw',5,
R B' BR R D,5,
R B' BR R D',5,
R B' BR R' BRw',5,
R B' BR R' B,5,
R B' BR R' B',5,
R B' BR R' Dw,5,
R B' BR R' Dw',5,
R B' BR R' D,5,
R B' BR R' D',5,
R B' BR B BRw,5,
R B' BR B BRw',5,
R B' BR B' BRw',5,
R B' BR B' D,5,
R B' BR B' D',5,
R B' BR Dw BRw,5,
R B' BR Dw BRw',5,
R B' BR Dw B',5,
R B' BR Dw D,5,
R B' BR Dw D',5,
R B' BR Dw' R,5,
R B' BR Dw' R',5,
R B' BR Dw' BRw,5,
R B' BR Dw' BRw',5,
R B' BR Dw' D',5,
R B' BR D R,5,
R B' BR D BRw,5,
R B' BR D BRw',5,
R B' BR D BL,5,
R B' BR D B',5,
R B' BR D BR,5,
R B' BR D BR',5,
R B' BR D' F',5,
R B' BR D' BR,5,
R B' BR D' BR',5,
R B' BR' R F,5,
R B' BR' R BRw,5,
R B' BR' R BRw',5,
R B' BR' R B,5,
R B' BR' R B',5,
R B' BR' R BR,5,
R B' BR' R Dw,5,
R B' BR' R Dw',5,
R B' BR' R D,5,
R B' BR' R' B,5,
R B' BR' R' BR,5,
R B' BR' R' BR',5,
R B' BR' R' Dw,5,
R B' BR' R' Dw',5,
R B' BR' B Dw,5,
R B' BR' B Dw',5,
R B' BR' B D,5,
R B' BR' B D',5,
R B' BR' B' BRw',5,
R B' BR' B' BL,5,
R B' BR' B' Dw,5,
R B' BR' B' D',5,
R B' BR' Dw BRw',5,
R B' BR' Dw B',5,
R B' BR' Dw D,5,
R B' BR' Dw' BRw,5,
R B' BR' Dw' BRw',5,
R B' BR' Dw' D,5,
R B' BR' D R,5,
R B' BR' D R',5,
R B' BR' D BRw,5,
R B' BR' D BRw',5,
R B' BR' D BL,5,
R B' BR' D BL',5,
R B' BR' D B,5,
R B' BR' D BR',5,
R B' BR' D' R,5,
R B' BR' D' BRw,5,
R B' BR' D' BRw',5,
R B' Dw BRw R,5,
R B' Dw BRw R',5,
R B' Dw BRw' R,5,
R B' Dw BRw' R',5,
R B' Dw BRw' F',5,
R B' Dw BRw' BL,5,
R B' Dw BRw' BL',5,
R B' Dw BRw' B,5,
R B' Dw BRw' Dw,5,
R B' Dw BRw' Dw',5,
R B' Dw B' R,5,
R B' Dw B' R',5,
R B' Dw B' BRw,5,
R B' Dw B' BRw',5,
R B' Dw D R',5,
R B' Dw D F',5,
R B' Dw D BL,5,
R B' Dw D BL',5,
R B' Dw D B,5,
R B' Dw D B',5,
R B' Dw D' BRw,5,
R B' Dw D' BRw',5,
R B' Dw D' B,5,
R B' Dw' R F,5,
R B' Dw' R F',5,
R B' Dw' R B',5,
R B' Dw' R Dw',5,
R B' Dw' R D,5,
R B' Dw' R D',5,
R B' Dw' R' F,5,
R B' Dw' R' F',5,
R B' Dw' R' BRw',5,
R B' Dw' R' BR,5,
R B' Dw' R' D,5,
R B' Dw' R' D',5,
R B' Dw' BRw R,5,
R B' Dw' BRw R',5,
R B' Dw' BRw Dw,5,
R B' Dw' BRw Dw',5,
R B' Dw' BRw D,5,
R B' Dw' BRw D',5,
R B' Dw' BRw' R,5,
R B' Dw' BRw' R',5,
R B' Dw' BRw' F,5,
R B' Dw' BRw' F',5,
R B' Dw' BRw' BL,5,
R B' Dw' BRw' BL',5,
R B' Dw' BRw' B,5,
R B' Dw' BRw' B',5,
R B' Dw' BRw' D,5,
R B' Dw' BRw' D',5,
R B' Dw' D F,5,
R B' Dw' D F',5,
R B' Dw' D BRw',5,
R B' Dw' D BL,5,
R B' Dw' D BR',5,
R B' Dw' D' BRw,5,
R B' D R F,5,
R B' D R F',5,
R B' D R B,5,
R B' D R BR',5,
R B' D R Dw',5,
R B' D R D,5,
R B' D R D',5,
R B' D R' F,5,
R B' D R' BRw,5,
R B' D R' BRw',5,
R B' D R' BL',5,
R B' D R' BR,5,
R B' D R' Dw,5,
R B' D R' Dw',5,
R B' D R' D,5,
R B' D R' D',5,
R B' D F R,5,
R B' D F BR',5,
R B' D F D,5,
R B' D BRw F,5,
R B' D BRw B',5,
R B' D BRw BR,5,
R B' D BRw Dw,5,
R B' D BRw D',5,
R B' D BRw' R,5,
R B' D BRw' R',5,
R B' D BRw' BR',5,
R B' D BRw' Dw,5,
R B' D BRw' Dw',5,
R B' D BRw' D',5,
R B' D BL' BRw,5,
R B' D BL' BRw',5,
R B' D BL' B,5,
R B' D BL' B',5,
R B' D BR B,5,
R B' D BR D,5,
R B' D BR D',5,
R B' D BR' R,5,
R B' D BR' D',5,
R B' D' R F,5,
R B' D' R F',5,
R B' D' R BR,5,
R B' D' R BR',5,
R B' D' R Dw',5,
R B' D' R D,5,
R B' D' R D',5,
R B' D' BRw' R,5,
R B' D' B D',5,
R B' D' B' R,5,
R B' D' B' BR',5,
R BR R F' B,5,
R BR R F' B',5,
R BR R F' Dw,5,
R BR R F' D,5,
R BR R F' D',5,
R BR R BRw R',5,
R BR R BRw B,5,
R BR R BRw B',5,
R BR R BRw BR,5,
R BR R BRw Dw,5,
R BR R BRw Dw',5,
R BR R B R,5,
R BR R B R',5,
R BR R B BRw,5,
R BR R B BL,5,
R BR R B BL',5,
R BR R B Dw,5,
R BR R B Dw',5,
R BR R B D,5,
R BR R B D',5,
R BR R B' R,5,
R BR R B' BRw,5,
R BR R B' BL,5,
R BR R B' Dw,5,
R BR R B' D',5,
R BR R BR R,5,
R BR R BR R',5,
R BR R BR B,5,
R BR R BR B',5,
R BR R BR Dw,5,
R BR R Dw BRw,5,
R BR R Dw BRw',5,
R BR R Dw B,5,
R BR R Dw D,5,
R BR R Dw D',5,
R BR R D B,5,
R BR R D' BRw,5,
R BR R D' BRw',5,
R BR R D' BL',5,
R BR R D' B,5,
R BR R D' B',5,
R BR R D' BR,5,
R BR R' BRw' R,5,
R BR R' BRw' F',5,
R BR R' BRw' B',5,
R BR R' BRw' Dw,5,
R BR R' B R,5,
R BR R' B R',5,
R BR R' B BL,5,
R BR R' B Dw',5,
R BR R' B D,5,
R BR R' B D',5,
R BR R' B' BRw,5,
R BR R' B' BL,5,
R BR R' B' BL',5,
R BR R' B' Dw,5,
R BR R' BR R,5,
R BR R' BR B,5,
R BR R' BR B',5,
R BR R' Dw BRw,5,
R BR R' Dw D,5,
R BR R' D BRw,5,
R BR R' D BRw',5,
R BR R' D BL',5,
R BR R' D B,5,
R BR R' D BR,5,
R BR R' D BR',5,
R BR R' D' F,5,
R BR R' D' F',5,
R BR R' D' BRw,5,
R BR R' D' B,5,
R BR R' D' BR,5,
R BR B R BRw',5,
R BR B R BL,5,
R BR B R B,5,
R BR B R BR,5,
R BR B R BR',5,
R BR B R Dw',5,
R BR B R D,5,
R BR B R D',5,
R BR B R' BRw,5,
R BR B R' B,5,
R BR B R' D,5,
R BR B BRw' F',5,
R BR B BRw' B,5,
R BR B BRw' B',5,
R BR B BRw' Dw,5,
R BR B BRw' D',5,
R BR B BL BRw',5,
R BR B Dw R',5,
R BR B Dw D,5,
R BR B Dw' R',5,
R BR B Dw' BRw',5,
R BR B Dw' B',5,
R BR B D' BRw',5,
R BR B D' B,5,
R BR B D' B',5,
R BR B D' BR',5,
R BR B' R BRw,5,
R BR B' R BRw',5,
R BR B' R BL,5,
R BR B' R BL',5,
R BR B' R D,5,
R BR B' R D',5,
R BR B' R' BRw,5,
R BR B' R' BL,5,
R BR B' R' BL',5,
R BR B' R' B,5,
R BR B' R' B',5,
R BR B' R' Dw,5,
R BR B' R' D,5,
R BR B' R' D',5,
R BR B' BRw R',5,
R BR B' BRw BL,5,
R BR B' BRw BL',5,
R BR B' BRw BR,5,
R BR B' BRw Dw,5,
R BR B' BRw D,5,
R BR B' BRw D',5,
R BR B' BRw' R,5,
R BR B' BRw' R',5,
R BR B' BRw' BL,5,
R BR B' BRw' BL',5,
R BR B' BRw' B,5,
R BR B' BRw' B',5,
R BR B' BRw' BR,5,
R BR B' BRw' BR',5,
R BR B' BRw' D',5,
R BR B' BL D,5,
R BR B' BL D',5,
R BR B' BL' BR,5,
R BR B' BR D,5,
R BR B' BR' D',5,
R BR B' Dw R,5,
R BR B' Dw R',5,
R BR B' Dw B',5,
R BR B' Dw D,5,
R BR B' Dw D',5,
R BR B' Dw' D',5,
R BR B' D R,5,
R BR B' D BRw,5,
R BR B' D BRw',5,
R BR B' D BL,5,
R BR B' D BL',5,
R BR B' D BR,5,
R BR B' D' R,5,
R BR B' D' R',5,
R BR B' D' BL,5,
R BR B' D' BL',5,
R BR B' D' B',5,
R BR B' D' BR',5,
R BR D BRw' R',5,
R BR D BRw' B,5,
R BR D BRw' Dw,5,
R BR D BRw' Dw',5,
R BR D BRw' D,5,
R BR D BRw' D',5,
R BR D BL BRw',5,
R BR D BL' BRw,5,
R BR D BL' B',5,
R BR D B BL,5,
R BR D B Dw',5,
R BR D B D,5,
R BR D B D',5,
R BR D B' R,5,
R BR D B' R',5,
R BR D B' BL,5,
R BR D B' BR,5,
R BR D B' BR',5,
R BR D B' Dw,5,
R BR D B' Dw',5,
R BR D B' D,5,
R BR D B' D',5,
R BR D' R' B',5,
R BR D' R' Dw',5,
R BR D' F R,5,
R BR D' F B',5,
R BR D' F' R',5,
R BR D' B BRw,5,
R BR D' B BRw',5,
R BR D' B BL,5,
R BR D' B Dw',5,
R BR D' B D,5,
R BR D' B D',5,
R BR D' B' BL',5,
R BR D' B' BR,5,
R BR D' B' BR',5,
R BR D' B' Dw,5,
R BR D' B' Dw',5,
R BR D' B' D,5,
R BR D' B' D',5,
R BR D' BR B,5,
R BR D' BR B',5,
R BR D' BR' D,5,
R BR' R F' B,5,
R BR' R F' B',5,
R BR' R F' Dw,5,
R BR' R BRw R,5,
R BR' R BRw B,5,
R BR' R BRw Dw',5,
R BR' R BRw D,5,
R BR' R BRw D',5,
R BR' R B BRw,5,
R BR' R B BRw',5,
R BR' R B BL,5,
R BR' R B BL',5,
R BR' R B BR,5,
R BR' R B BR',5,
R BR' R B D',5,
R BR' R B' R,5,
R BR' R B' R',5,
R BR' R B' BRw,5,
R BR' R B' BRw',5,
R BR' R B' BL,5,
R BR' R B' BL',5,
R BR' R B' Dw,5,
R BR' R B' Dw',5,
R BR' R B' D,5,
R BR' R B' D',5,
R BR' R BR D,5,
R BR' R BR D',5,
R BR' R Dw R',5,
R BR' R Dw' R,5,
R BR' R Dw' B,5,
R BR' R Dw' B',5,
R BR' R Dw' D',5,
R BR' R D BL,5,
R BR' R D B',5,
R BR' R D' R',5,
R BR' R D' B,5,
R BR' R D' B',5,
R BR' R' B BRw,5,
R BR' R' B BRw',5,
R BR' R' B BL,5,
R BR' R' B BR,5,
R BR' R' B BR',5,
R BR' R' B Dw,5,
R BR' R' B Dw',5,
R BR' R' B D,5,
R BR' R' B D',5,
R BR' R' B' BRw,5,
R BR' R' B' BRw',5,
R BR' R' B' BL,5,
R BR' R' B' BL',5,
R BR' R' BR B',5,
R BR' R' BR' B,5,
R BR' R' BR' B',5,
R BR' R' BR' Dw,5,
R BR' R' Dw BRw',5,
R BR' R' Dw B,5,
R BR' R' Dw B',5,
R BR' R' Dw' BRw',5,
R BR' R' Dw' B,5,
R BR' B R BRw',5,
R BR' B R BL',5,
R BR' B R BR,5,
R BR' B R BR',5,
R BR' B R Dw',5,
R BR' B R D,5,
R BR' B R D',5,
R BR' B BRw R,5,
R BR' B BRw R',5,
R BR' B BRw F,5,
R BR' B BRw BL',5,
R BR' B BRw BR',5,
R BR' B BRw Dw',5,
R BR' B BRw' R,5,
R BR' B BRw' F,5,
R BR' B BRw' B,5,
R BR' B BRw' B',5,
R BR' B BRw' BR,5,
R BR' B BRw' BR',5,
R BR' B BRw' Dw,5,
R BR' B BRw' D,5,
R BR' B BRw' D',5,
R BR' B BL BRw,5,
R BR' B BL BR,5,
R BR' B BL BR',5,
R BR' B BL Dw',5,
R BR' B BL D,5,
R BR' B BL D',5,
R BR' B BL' BRw,5,
R BR' B BL' BRw',5,
R BR' B BL' B,5,
R BR' B BL' BR,5,
R BR' B BR R,5,
R BR' B BR Dw',5,
R BR' B BR D,5,
R BR' B BR' B,5,
R BR' B BR' Dw,5,
R BR' B BR' D,5,
R BR' B BR' D',5,
R BR' B Dw R,5,
R BR' B Dw BRw,5,
R BR' B Dw B,5,
R BR' B Dw' BRw',5,
R BR' B Dw' B',5,
R BR' B D F',5,
R BR' B D BRw,5,
R BR' B D BRw',5,
R BR' B D B,5,
R BR' B D B',5,
R BR' B D' R',5,
R BR' B D' F,5,
R BR' B D' F',5,
R BR' B D' BRw,5,
R BR' B D' BRw',5,
R BR' B D' B,5,
R BR' B D' B',5,
R BR' B D' BR',5,
R BR' B' R F,5,
R BR' B' R F',5,
R BR' B' R BRw,5,
R BR' B' R BRw',5,
R BR' B' R BL,5,
R BR' B' R BL',5,
R BR' B' R B,5,
R BR' B' R B',5,
R BR' B' R BR,5,
R BR' B' R BR',5,
R BR' B' R Dw,5,
R BR' B' R Dw',5,
R BR' B' R D,5,
R BR' B' R D',5,
R BR' B' R' BRw,5,
R BR' B' R' BRw',5,
R BR' B' R' BL,5,
R BR' B' R' BL',5,
R BR' B' R' B,5,
R BR' B' R' BR,5,
R BR' B' R' BR',5,
R BR' B' R' Dw,5,
R BR' B' R' Dw',5,
R BR' B' R' D,5,
R BR' B' R' D',5,
R BR' B' BRw BL',5,
R BR' B' BRw B,5,
R BR' B' BRw B',5,
R BR' B' BRw Dw,5,
R BR' B' BRw Dw',5,
R BR' B' BRw D,5,
R BR' B' BRw' BL,5,
R BR' B' BRw' B,5,
R BR' B' BRw' Dw,5,
R BR' B' BRw' D,5,
R BR' B' BRw' D',5,
R BR' B' BL B',5,
R BR' B' BL Dw,5,
R BR' B' BL Dw',5,
R BR' B' BL' BRw',5,
R BR' B' BL' Dw,5,
R BR' B' BL' D',5,
R BR' B' Dw R',5,
R BR' B' Dw B',5,
R BR' B' Dw D,5,
R BR' B' Dw' BRw,5,
